symbol,company_name,sector
RELIANCE,Reliance Industries Ltd,Energy
TCS,Tata Consultancy Services Ltd,Information Technology
INFY,Infosys Ltd,Information Technology
HDFCBANK,HDFC Bank Ltd,Financial Services
ICICIBANK,ICICI Bank Ltd,Financial Services
BHARTIARTL,Bharti Airtel Ltd,Telecommunication
SBIN,State Bank of India,Financial Services
ITC,ITC Ltd,Consumer Goods
HINDUNILVR,Hindustan Unilever Ltd,Consumer Goods
LT,Larsen & Toubro Ltd,Construction
BAJFINANCE,Bajaj Finance Ltd,Financial Services
AXISBANK,Axis Bank Ltd,Financial Services
KOTAKBANK,Kotak Mahindra Bank Ltd,Financial Services
M&M,Mahindra & Mahindra Ltd,Automobile
MARUTI,Maruti Suzuki India Ltd,Automobile
SUNPHARMA,Sun Pharmaceutical Industries Ltd,Healthcare
NTPC,NTPC Ltd,Utilities
POWERGRID,Power Grid Corporation of India Ltd,Utilities
ONGC,Oil & Natural Gas Corporation Ltd,Energy
COALINDIA,Coal India Ltd,Energy
TATASTEEL,Tata Steel Ltd,Metals & Mining
JSWSTEEL,JSW Steel Ltd,Metals & Mining
ULTRACEMCO,UltraTech Cement Ltd,Construction Materials
HCLTECH,HCL Technologies Ltd,Information Technology
WIPRO,Wipro Ltd,Information Technology
ASIANPAINT,Asian Paints Ltd,Consumer Goods
TITAN,Titan Company Ltd,Consumer Goods
NESTLEIND,Nestle India Ltd,Consumer Goods
BAJAJFINSV,Bajaj Finserv Ltd,Financial Services
ADANIENT,Adani Enterprises Ltd,Conglomerate
ADANIPORTS,Adani Ports & SEZ Ltd,Services
TATACOMM,Tata Communications Ltd,Telecommunication
RECLTD,REC Ltd,Financial Services
PFC,Power Finance Corporation,Financial Services
LICI,Life Insurance Corporation of India,Financial Services
